"request_timestamp","elb_name","request_ip","request_port","backend_ip","backend_port","request_processing_time","backend_processing_time","client_response_time","elb_response_code","backend_response_code","received_bytes","sent_bytes","request_verb","url","protocol","user_agent","ssl_cipher","ssl_protocol"
"2015-01-04T00:00:01.206255Z","elb_demo_003","244.221.194.69","8181","172.51.128.243","443","5.84E-4","0.001756","4.71E-4","200","200","0","81","GET","https://www.example.com/articles/446","HTTP/1.1","""Mozilla/5.0 (X11; CrOS x86_64 8172.45.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.64 Safari/537.36""","DHE-RSA-AES128-SHA","TLSv1.2"
"2015-01-04T00:00:01.612598Z","elb_demo_004","246.204.169.181","31159","172.48.38.173","8888","0.001501","0.001431","2.97E-4","200","200","0","4548","GET","https://www.example.com/jobs/327","HTTP/1.1","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36 Edge/12.246""","DHE-RSA-AES128-SHA","TLSv1.2"
"2015-01-04T00:00:02.793335Z","elb_demo_005","251.77.231.193","20177","172.39.222.62","8888","0.001054","7.52E-4","6.29E-4","200","200","0","1100","GET","https://www.example.com/articles/967","HTTP/1.1","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36""","DHE-RSA-AES128-SHA","TLSv1.2"
"2015-01-04T00:00:03.068897Z","elb_demo_004","241.174.38.38","22033","172.54.99.226","443","0.001599","0.001961","2.1E-4","500","500","0","3354","GET","http://www.example.com/images/725","HTTP/1.1","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36 Edge/12.246""","-","-"
"2015-01-04T00:00:03.470121Z","elb_demo_006","249.33.133.79","25973","172.50.65.58","443","7.47E-4","8.1E-4","0.001184","200","200","0","807","GET","https://www.example.com/images/762","HTTP/1.1","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Safari/602.1.50""","DHE-RSA-AES128-SHA","TLSv1.2"
"2015-01-04T00:00:04.159502Z","elb_demo_006","241.119.44.174","30225","172.41.227.38","80","1.83E-4","9.29E-4","9.47E-4","200","200","0","1620","GET","http://www.example.com/images/167","HTTP/1.1","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36""","-","-"
"2015-01-04T00:00:04.778187Z","elb_demo_002","251.71.160.218","13118","172.35.134.224","8888","9.91E-4","0.001318","0.001563","200","200","0","3703","GET","http://www.example.com/articles/679","HTTP/1.1","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9""","-","-"
"2015-01-04T00:00:06.178798Z","elb_demo_008","248.113.247.49","25906","172.54.192.220","443","9.81E-4","9.33E-4","0.00192","200","200","0","3314","GET","https://www.example.com/articles/733","HTTP/1.1","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36 Edge/12.246""","DHE-RSA-AES128-SHA","TLSv1.2"
"2015-01-04T00:00:06.607063Z","elb_demo_001","251.52.225.76","16832","172.45.196.120","8888","0.001405","0.001221","0.001777","200","200","0","4953","GET","http://www.example.com/jobs/995","HTTP/1.1","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Safari/602.1.50""","-","-"
"2015-01-04T00:00:06.625672Z","elb_demo_001","244.31.152.50","2487","172.31.155.111","443","0.0014","6.37E-4","1.15E-4","200","200","0","965","GET","http://www.example.com/jobs/484","HTTP/1.1","""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:15.0) Gecko/20100101 Firefox/15.0.1""","-","-"
"2015-01-04T00:00:07.602584Z","elb_demo_003","251.204.102.244","26144","172.38.186.67","443","7.41E-4","0.001","0.001521","200","200","0","628","GET","http://www.example.com/jobs/813","HTTP/1.1","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9""","-","-"
